"","subject","native_lang","age","gender","trial","story","reaction_time","response_a","response_b","response_c","response_d","report_a","report_b","report_c","tag_a","tag_b","tag_c","exhaustive_seen","mention_one_high_seen","mention_one_low_seen","mention_some_high_seen","mention_some_low_seen","false_report_seen","none_of_above_seen","exhaustive_chosen","mention_one_high_chosen","mention_one_low_chosen","mention_some_high_chosen","mention_some_low_chosen","false_report_chosen","none_of_above_chosen"
"29","A2YVC1U50H2B4R","English",29,"female","high","high_terrorism",5587,"1","0","0",0,"Stores E and B.","Stores A and F.","Store F.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"30","A2YVC1U50H2B4R","English",29,"female","low","low_brother",5432,"0","0","0",1,"Stalls C, D, A, F and B.","Stalls A and B.","Stall B.","exh","ms-l","mo-l",1,0,1,0,1,0,1,0,0,0,0,0,0,1
"31","A2YVC1U50H2B4R","English",29,"female","high","high_fbi",5087,"0","0","1",0,"Place E.","Places B and E.","Places F and A.","mo-l","ms-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"33","A2YVC1U50H2B4R","English",29,"female","low","low_coffee",4055,"0","0","1",0,"Cafes F and D.","Cafe D.","Cafe E.","ms-l","mo-l","mo-h",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"34","A2YVC1U50H2B4R","English",29,"female","high","high_operative",6676,"0","1","0",0,"The South and North districts.","The Northeast and Southwest districts.","The North district.","ms-l","ms-h","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"40","A2QWERWB75X8YU","english",28,"female","high","high_terrorism",24581,"0","1","0",0,"Store F.","Stores E and B.","Stores A and F.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"41","A2QWERWB75X8YU","english",28,"female","low","low_pic",12479,"1","0","0",0,"Locations A and D.","Locations D and F.","Location F.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"42","A2QWERWB75X8YU","english",28,"female","high","high_operative",18754,"1","0","0",0,"The Northeast, Southwest, South, Southeast and North districts.","The Northeast district.","The South and North districts.","exh","mo-h","ms-l",1,1,0,0,1,0,1,1,0,0,0,0,0,0
"44","A2QWERWB75X8YU","english",28,"female","low","low_yoga",8425,"0","0","1",0,"Studio B.","Studio A.","Studio F.","mo-l","f","mo-h",0,1,1,0,0,1,1,0,1,0,0,0,0,0
"45","A2QWERWB75X8YU","english",28,"female","high","high_inspector",16908,"0","1","1",0,"Restaurant E.","Restaurant A.","Restaurants A and B.","mo-l","mo-h","ms-h",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"47","A2QWERWB75X8YU","english",28,"female","low","low_brother",8655,"0","1","0",0,"Stalls C, D, A, F and B.","Stalls C and D.","Stalls A and B.","exh","ms-h","ms-l",1,0,0,1,1,0,1,0,0,0,1,0,0,0
"48","A2QWERWB75X8YU","english",28,"female","high","high_firefighter",8221,"0","1","0",0,"The sixth floor.","The fifth and second floors.","The first floor.","mo-l","ms-h","f",0,0,1,1,0,1,1,0,0,0,1,0,0,0
"49","A2QWERWB75X8YU","english",28,"female","low","low_la",6832,"0","1","0",0,"Diners A and E.","Diner C.","Diner E.","ms-l","mo-h","mo-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"51","A2QWERWB75X8YU","english",28,"female","high","high_fbi",16800,"1","0","0",0,"Places B and E.","Place E.","Place D.","ms-l","mo-l","f",0,0,1,0,1,1,1,0,0,0,0,1,0,0
"52","A2QWERWB75X8YU","english",28,"female","low","low_coffee",5944,"0","1","0",0,"Cafe D.","Cafes E and B.","Cafe A.","mo-l","ms-h","f",0,0,1,1,0,1,1,0,0,0,1,0,0,0
"58","ACVJ6IUO9QM4R","English",35,"female","low","low_coffee",2635,"1","0","0",0,"Cafe E.","Cafes E and B.","Cafe D.","mo-h","ms-h","mo-l",0,1,1,1,0,0,1,0,1,0,0,0,0,0
"59","ACVJ6IUO9QM4R","English",35,"female","high","high_operative",1679,"0","1","0",0,"The South and North districts.","The North district.","The Northeast, Southwest, South, Southeast and North districts.","ms-l","mo-l","exh",1,0,1,0,1,0,1,0,0,1,0,0,0,0
"60","ACVJ6IUO9QM4R","English",35,"female","low","low_la",3091,"1","0","0",0,"Diners A and E.","Diner E.","Diner C.","ms-l","mo-l","mo-h",0,1,1,0,1,0,1,0,0,0,0,1,0,0
"62","ACVJ6IUO9QM4R","English",35,"female","high","high_firefighter",3914,"0","1","1",0,"The fifth floor.","The fourth and sixth floors.","The fifth, second, fourth, third and sixth floors.","mo-h","ms-l","exh",1,1,0,0,1,0,1,1,0,0,0,1,0,0
"63","ACVJ6IUO9QM4R","English",35,"female","low","low_yoga",1260,"0","1","0",0,"Studio A.","Studios F and E.","Studio B.","f","ms-h","mo-l",0,0,1,1,0,1,1,0,0,0,1,0,0,0
"65","ACVJ6IUO9QM4R","English",35,"female","high","high_inspector",1874,"0","0","1",0,"Restaurants A, B, C, D, and E.","Restaurants A and B.","Restaurants C and E.","exh","ms-h","ms-l",1,0,0,1,1,0,1,0,0,0,0,1,0,0
"66","ACVJ6IUO9QM4R","English",35,"female","low","low_brother",1029,"0","1","0",0,"Stalls C and D.","Stall B.","Stalls C, D, A, F and B.","ms-h","mo-l","exh",1,0,1,1,0,0,1,0,0,1,0,0,0,0
"67","ACVJ6IUO9QM4R","English",35,"female","high","high_terrorism",1157,"1","0","0",0,"Store F.","Store C.","Stores A and F.","mo-l","f","ms-l",0,0,1,0,1,1,1,0,0,1,0,0,0,0
"69","ACVJ6IUO9QM4R","English",35,"female","low","low_pic",2148,"1","0","0",0,"Location A.","Locations D and F.","Location F.","mo-h","ms-l","mo-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"70","ACVJ6IUO9QM4R","English",35,"female","high","high_fbi",2432,"0","1","0",0,"Place E.","Place F.","Places F and A.","mo-l","mo-h","ms-h",0,1,1,1,0,0,1,0,1,0,0,0,0,0
"76","A1DIW2K1J89CMO","English",22,"female","high","high_fbi",25597,"0","0","1",0,"Place E.","Places B and E.","Places F and A.","mo-l","ms-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"77","A1DIW2K1J89CMO","English",22,"female","low","low_brother",50773,"0","0","1",0,"Stall E.","Stalls A and B.","Stall C.","f","ms-l","mo-h",0,1,0,0,1,1,1,0,1,0,0,0,0,0
"78","A1DIW2K1J89CMO","English",22,"female","high","high_terrorism",44535,"1","0","0",0,"Stores E and B.","Store F.","Stores A and F.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"80","A1DIW2K1J89CMO","English",22,"female","low","low_pic",19286,"1","0","1",0,"Locations A and D.","Location B.","Location A.","ms-h","f","mo-h",0,1,0,1,0,1,1,0,1,0,1,0,0,0
"81","A1DIW2K1J89CMO","English",22,"female","high","high_operative",17381,"1","0","1",0,"The Northeast district.","The South and North districts.","The Northeast and Southwest districts.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"83","A1DIW2K1J89CMO","English",22,"female","low","low_coffee",10174,"0","1","0",0,"Cafe D.","Cafes E and B.","Cafes F and D.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"84","A1DIW2K1J89CMO","English",22,"female","high","high_inspector",27894,"0","0","0",1,"Restaurants C and E.","Restaurant E.","Restaurant F.","ms-l","mo-l","f",0,0,1,0,1,1,1,0,0,0,0,0,0,1
"85","A1DIW2K1J89CMO","English",22,"female","low","low_la",18678,"1","0","0",0,"Diners C and F.","Diners A and E.","Diners C, F, A, D, and E.","ms-h","ms-l","exh",1,0,0,1,1,0,1,0,0,0,1,0,0,0
"87","A1DIW2K1J89CMO","English",22,"female","high","high_firefighter",17101,"0","1","0",0,"The sixth floor.","The fifth, second, fourth, third and sixth floors.","The fifth and second floors.","mo-l","exh","ms-h",1,0,1,1,0,0,1,1,0,0,0,0,0,0
"88","A1DIW2K1J89CMO","English",22,"female","low","low_yoga",10327,"1","0","1",0,"Studio F.","Studios C and B.","Studios F and E.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"94","A11FRLH5KWRLBV","English",34,"male","high","high_fbi",18712,"0","1","0",0,"Place E.","Place F.","Places B and E.","mo-l","mo-h","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"95","A11FRLH5KWRLBV","English",34,"male","low","low_pic",1903,"0","0","1",0,"Locations D and F.","Location A.","Location B.","ms-l","mo-h","f",0,1,0,0,1,1,1,0,0,0,0,0,1,0
"97","A11FRLH5KWRLBV","English",34,"male","high","high_terrorism",2376,"0","1","0",0,"Store C.","Stores E and B.","Store E.","f","ms-h","mo-h",0,1,0,1,0,1,1,0,0,0,1,0,0,0
"98","A11FRLH5KWRLBV","English",34,"male","low","low_yoga",1464,"0","0","1",0,"Studios F and E.","Studio F.","Studios F, E, D, C and B.","ms-h","mo-h","exh",1,1,0,1,0,0,1,1,0,0,0,0,0,0
"100","A11FRLH5KWRLBV","English",34,"male","high","high_inspector",2049,"1","0","0",0,"Restaurant A.","Restaurants C and E.","Restaurants A and B.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"101","A11FRLH5KWRLBV","English",34,"male","low","low_brother",1675,"0","0","1",0,"Stall E.","Stalls C and D.","Stalls A and B.","f","ms-h","ms-l",0,0,0,1,1,1,1,0,0,0,0,1,0,0
"102","A11FRLH5KWRLBV","English",34,"male","high","high_operative",5269,"0","1","0",0,"The South and North districts.","The North district.","The Northeast and Southwest districts.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,1,0,0,0,0
"104","A11FRLH5KWRLBV","English",34,"male","low","low_coffee",1915,"0","1","0",0,"Cafes E and B.","Cafe E.","Cafe D.","ms-h","mo-h","mo-l",0,1,1,1,0,0,1,0,1,0,0,0,0,0
"105","A11FRLH5KWRLBV","English",34,"male","high","high_firefighter",2908,"0","0","1",0,"The fourth and sixth floors.","The fifth floor.","The sixth floor.","ms-l","mo-h","mo-l",0,1,1,0,1,0,1,0,0,1,0,0,0,0
"106","A11FRLH5KWRLBV","English",34,"male","low","low_la",1741,"1","0","0",0,"Diner C.","Diner B.","Diners C and F.","mo-h","f","ms-h",0,1,0,1,0,1,1,0,1,0,0,0,0,0
"112","A2YGAEODJ5SSF6","English ",41,"male","low","low_brother",33714,"0","1","0",0,"Stalls C, D, A, F and B.","Stalls C and D.","Stalls A and B.","exh","ms-h","ms-l",1,0,0,1,1,0,1,0,0,0,1,0,0,0
"113","A2YGAEODJ5SSF6","English ",41,"male","high","high_fbi",22375,"0","1","0",0,"Place D.","Place F.","Place E.","f","mo-h","mo-l",0,1,1,0,0,1,1,0,1,0,0,0,0,0
"114","A2YGAEODJ5SSF6","English ",41,"male","low","low_la",13581,"1","1","0",0,"Diner C.","Diners C and F.","Diner B.","mo-h","ms-h","f",0,1,0,1,0,1,1,0,1,0,1,0,0,0
"116","A2YGAEODJ5SSF6","English ",41,"male","high","high_inspector",26442,"1","1","0",0,"Restaurants C and E.","Restaurants A and B.","Restaurant F.","ms-l","ms-h","f",0,0,0,1,1,1,1,0,0,0,1,1,0,0
"117","A2YGAEODJ5SSF6","English ",41,"male","low","low_yoga",33390,"0","1","0",0,"Studio A.","Studios F and E.","Studio B.","f","ms-h","mo-l",0,0,1,1,0,1,1,0,0,0,1,0,0,0
"119","A2YGAEODJ5SSF6","English ",41,"male","high","high_operative",35657,"0","1","0",0,"The North district.","The Northeast and Southwest districts.","The Northeast district.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,0,0,1,0,0,0
"120","A2YGAEODJ5SSF6","English ",41,"male","low","low_coffee",41424,"0","1","0",0,"Cafe D.","Cafe E.","Cafes F and D.","mo-l","mo-h","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"121","A2YGAEODJ5SSF6","English ",41,"male","high","high_firefighter",27893,"1","1","1",0,"The sixth floor.","The fifth floor.","The fifth, second, fourth, third and sixth floors.","mo-l","mo-h","exh",1,1,1,0,0,0,1,1,1,1,0,0,0,0
"123","A2YGAEODJ5SSF6","English ",41,"male","low","low_pic",19010,"0","0","0",1,"Location F.","Locations D and F.","Location B.","mo-l","ms-l","f",0,0,1,0,1,1,1,0,0,0,0,0,0,1
"124","A2YGAEODJ5SSF6","English ",41,"male","high","high_terrorism",14694,"1","0","0",0,"Store E.","Stores E and B.","Stores A and F.","mo-h","ms-h","ms-l",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"130","A2DVJ6OMVVYTC7","English",29,"male","low","low_pic",39646,"0","0","1",0,"Locations A, D, E, and F.","Location F.","Locations A and D.","exh","mo-l","ms-h",1,0,1,1,0,0,1,0,0,0,1,0,0,0
"131","A2DVJ6OMVVYTC7","English",29,"male","high","high_fbi",21885,"0","0","1",0,"Place F.","Place E.","Places F, A, B, C and E.","mo-h","mo-l","exh",1,1,1,0,0,0,1,1,0,0,0,0,0,0
"132","A2DVJ6OMVVYTC7","English",29,"male","low","low_la",28142,"0","1","0",0,"Diner E.","Diner C.","Diners A and E.","mo-l","mo-h","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"134","A2DVJ6OMVVYTC7","English",29,"male","high","high_inspector",36165,"0","0","1",0,"Restaurant F.","Restaurants C and E.","Restaurants A and B.","f","ms-l","ms-h",0,0,0,1,1,1,1,0,0,0,1,0,0,0
"135","A2DVJ6OMVVYTC7","English",29,"male","low","low_brother",31765,"1","0","0",0,"Stall C.","Stalls A and B.","Stall B.","mo-h","ms-l","mo-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"137","A2DVJ6OMVVYTC7","English",29,"male","high","high_terrorism",15335,"0","1","0",0,"Store F.","Stores E and B.","Stores A and F.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"138","A2DVJ6OMVVYTC7","English",29,"male","low","low_yoga",9262,"1","0","0",0,"Studios F and E.","Studios F, E, D, C and B.","Studio F.","ms-h","exh","mo-h",1,1,0,1,0,0,1,0,0,0,1,0,0,0
"139","A2DVJ6OMVVYTC7","English",29,"male","high","high_operative",12110,"0","1","0",0,"The Northeast district.","The Northeast and Southwest districts.","The North district.","mo-h","ms-h","mo-l",0,1,1,1,0,0,1,0,0,0,1,0,0,0
"141","A2DVJ6OMVVYTC7","English",29,"male","low","low_coffee",6054,"1","0","0",0,"Cafes E and B.","Cafe D.","Cafes E, B, F, C and D.","ms-h","mo-l","exh",1,0,1,1,0,0,1,0,0,0,1,0,0,0
"142","A2DVJ6OMVVYTC7","English",29,"male","high","high_firefighter",10676,"1","0","0",0,"The fifth, second, fourth, third and sixth floors.","The fourth and sixth floors.","The first floor.","exh","ms-l","f",1,0,0,0,1,1,1,1,0,0,0,0,0,0
"148","AA8MK8AWWWL62","English",32,"female","high","high_operative",65343,"1","1","1",0,"The North district.","The Northeast and Southwest districts.","The Northeast district.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"149","AA8MK8AWWWL62","English",32,"female","low","low_pic",44644,"0","0","1",0,"Location B.","Location F.","Location A.","f","mo-l","mo-h",0,1,1,0,0,1,1,0,1,0,0,0,0,0
"150","AA8MK8AWWWL62","English",32,"female","high","high_firefighter",29903,"1","1","1",0,"The fifth and second floors.","The fifth floor.","The sixth floor.","ms-h","mo-h","mo-l",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"152","AA8MK8AWWWL62","English",32,"female","low","low_coffee",18265,"1","1","1",0,"Cafes E and B.","Cafes E, B, F, C and D.","Cafes F and D.","ms-h","exh","ms-l",1,0,0,1,1,0,1,1,0,0,1,1,0,0
"153","AA8MK8AWWWL62","English",32,"female","high","high_inspector",19114,"1","1","1",0,"Restaurants A and B.","Restaurant A.","Restaurants C and E.","ms-h","mo-h","ms-l",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"155","AA8MK8AWWWL62","English",32,"female","low","low_la",33853,"0","0","1",0,"Diner E.","Diners A and E.","Diners C, F, A, D, and E.","mo-l","ms-l","exh",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"156","AA8MK8AWWWL62","English",32,"female","high","high_terrorism",25953,"1","0","1",0,"Store E.","Store F.","Stores E, B, A, D, and F.","mo-h","mo-l","exh",1,1,1,0,0,0,1,1,1,0,0,0,0,0
"157","AA8MK8AWWWL62","English",32,"female","low","low_yoga",21506,"0","1","1",0,"Studios C and B.","Studios F and E.","Studio F.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"159","AA8MK8AWWWL62","English",32,"female","high","high_fbi",36435,"0","1","0",1,"Places F and A.","Places B and E.","Place D.","ms-h","ms-l","f",0,0,0,1,1,1,1,0,0,0,0,1,0,1
"160","AA8MK8AWWWL62","English",32,"female","low","low_brother",18147,"0","0","1",0,"Stalls A and B.","Stall B.","Stalls C and D.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"166","A10LGIY5HFYMZM","ENGLISH",58,"male","high","high_operative",30502,"1","0","0",0,"The North district.","The Northeast and Southwest districts.","The South and North districts.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,1,0,0,0,0
"167","A10LGIY5HFYMZM","ENGLISH",58,"male","low","low_yoga",84069,"1","0","0",0,"Studio F.","Studio B.","Studios C and B.","mo-h","mo-l","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"168","A10LGIY5HFYMZM","ENGLISH",58,"male","high","high_terrorism",25253,"1","0","0",0,"Store E.","Stores E and B.","Stores A and F.","mo-h","ms-h","ms-l",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"170","A10LGIY5HFYMZM","ENGLISH",58,"male","low","low_coffee",56949,"0","1","0",0,"Cafe D.","Cafe E.","Cafes F and D.","mo-l","mo-h","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"171","A10LGIY5HFYMZM","ENGLISH",58,"male","high","high_firefighter",24371,"1","0","0",0,"The fifth floor.","The fourth and sixth floors.","The sixth floor.","mo-h","ms-l","mo-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"173","A10LGIY5HFYMZM","ENGLISH",58,"male","low","low_pic",52118,"0","1","0",0,"Locations D and F.","Location A.","Locations A, D, E, and F.","ms-l","mo-h","exh",1,1,0,0,1,0,1,0,1,0,0,0,0,0
"174","A10LGIY5HFYMZM","ENGLISH",58,"male","high","high_inspector",38709,"0","0","1",0,"Restaurants C and E.","Restaurant E.","Restaurant A.","ms-l","mo-l","mo-h",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"175","A10LGIY5HFYMZM","ENGLISH",58,"male","low","low_la",24685,"0","0","1",0,"Diners A and E.","Diner E.","Diners C, F, A, D, and E.","ms-l","mo-l","exh",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"177","A10LGIY5HFYMZM","ENGLISH",58,"male","high","high_fbi",12400,"1","0","0",0,"Places F, A, B, C and E.","Places B and E.","Place E.","exh","ms-l","mo-l",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"178","A10LGIY5HFYMZM","ENGLISH",58,"male","low","low_brother",11859,"0","1","0",0,"Stalls A and B.","Stall C.","Stall B.","ms-l","mo-h","mo-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"184","A2LCOTUKCDULAA","english",52,"female","high","high_firefighter",103548,"0","0","1",0,"The first floor.","The fourth and sixth floors.","The fifth and second floors.","f","ms-l","ms-h",0,0,0,1,1,1,1,0,0,0,1,0,0,0
"185","A2LCOTUKCDULAA","english",52,"female","low","low_pic",61882,"1","0","0",0,"Locations A and D.","Location B.","Location F.","ms-h","f","mo-l",0,0,1,1,0,1,1,0,0,0,1,0,0,0
"186","A2LCOTUKCDULAA","english",52,"female","high","high_fbi",40613,"0","0","0",1,"Place D.","Place E.","Places B and E.","f","mo-l","ms-l",0,0,1,0,1,1,1,0,0,0,0,0,0,1
"188","A2LCOTUKCDULAA","english",52,"female","low","low_brother",29505,"1","0","0",0,"Stall B.","Stalls A and B.","Stalls C, D, A, F and B.","mo-l","ms-l","exh",1,0,1,0,1,0,1,0,0,1,0,0,0,0
"189","A2LCOTUKCDULAA","english",52,"female","high","high_inspector",48502,"1","0","0",0,"Restaurants C and E.","Restaurant E.","Restaurant A.","ms-l","mo-l","mo-h",0,1,1,0,1,0,1,0,0,0,0,1,0,0
"191","A2LCOTUKCDULAA","english",52,"female","low","low_yoga",15883,"1","0","0",0,"Studio A.","Studio B.","Studios F and E.","f","mo-l","ms-h",0,0,1,1,0,1,1,0,0,0,0,0,1,0
"192","A2LCOTUKCDULAA","english",52,"female","high","high_terrorism",18084,"1","0","0",0,"Store F.","Stores E and B.","Store E.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,0,1,0,0,0,0
"193","A2LCOTUKCDULAA","english",52,"female","low","low_coffee",25789,"1","0","0",0,"Cafe E.","Cafes E and B.","Cafes F and D.","mo-h","ms-h","ms-l",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"195","A2LCOTUKCDULAA","english",52,"female","high","high_operative",6837,"1","0","0",0,"The West district.","The Northeast district.","The Northeast, Southwest, South, Southeast and North districts.","f","mo-h","exh",1,1,0,0,0,1,1,0,0,0,0,0,1,0
"196","A2LCOTUKCDULAA","english",52,"female","low","low_la",17265,"0","0","0",1,"Diner E.","Diners C, F, A, D, and E.","Diners A and E.","mo-l","exh","ms-l",1,0,1,0,1,0,1,0,0,0,0,0,0,1
"202","A35NM2285DUAFH","English",28,"female","high","high_fbi",35300,"0","0","1",0,"Place E.","Places B and E.","Places F, A, B, C and E.","mo-l","ms-l","exh",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"203","A35NM2285DUAFH","English",28,"female","low","low_brother",20453,"0","0","1",0,"Stalls C and D.","Stalls A and B.","Stall C.","ms-h","ms-l","mo-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"205","A35NM2285DUAFH","English",28,"female","high","high_operative",28635,"0","0","1",0,"The Northeast, Southwest, South, Southeast and North districts.","The North district.","The Northeast and Southwest districts.","exh","mo-l","ms-h",1,0,1,1,0,0,1,0,0,0,1,0,0,0
"206","A35NM2285DUAFH","English",28,"female","low","low_la",20351,"0","0","1",0,"Diner B.","Diners A and E.","Diner C.","f","ms-l","mo-h",0,1,0,0,1,1,1,0,1,0,0,0,0,0
"208","A35NM2285DUAFH","English",28,"female","high","high_inspector",29401,"1","1","1",0,"Restaurant A.","Restaurants C and E.","Restaurants A and B.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"209","A35NM2285DUAFH","English",28,"female","low","low_pic",29613,"1","1","1",0,"Locations D and F.","Location F.","Locations A and D.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"210","A35NM2285DUAFH","English",28,"female","high","high_terrorism",16388,"1","0","0",0,"Stores E and B.","Stores E, B, A, D, and F.","Store C.","ms-h","exh","f",1,0,0,1,0,1,1,0,0,0,1,0,0,0
"212","A35NM2285DUAFH","English",28,"female","low","low_coffee",28605,"0","1","1",0,"Cafe D.","Cafe E.","Cafes E and B.","mo-l","mo-h","ms-h",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"213","A35NM2285DUAFH","English",28,"female","high","high_firefighter",17052,"1","1","1",0,"The fourth and sixth floors.","The fifth and second floors.","The fifth floor.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"214","A35NM2285DUAFH","English",28,"female","low","low_yoga",22167,"0","0","1",0,"Studios F, E, D, C and B.","Studio A.","Studio F.","exh","f","mo-h",1,1,0,0,0,1,1,0,1,0,0,0,0,0
"220","A2L22HZ50T83UK","english",28,"female","high","high_firefighter",25973,"1","0","0",0,"The fifth, second, fourth, third and sixth floors.","The sixth floor.","The fourth and sixth floors.","exh","mo-l","ms-l",1,0,1,0,1,0,1,1,0,0,0,0,0,0
