subject,native_lang,trial,story,tense,tag_a,tag_b,tag_c,exhaustive_seen,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,false_report_seen,none_of_above_seen,exhaustive_chosen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,false_report_chosen,none_of_above_chosen
A372F1FDPWXBY3,English,test,test_dentist,past,ms-h,mo-l,fa,0,0,1,1,0,0,1,0,0,1,1,0,0,0
A372F1FDPWXBY3,English,test,test_coffee,past,mo-l,mo-h,ms-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A3V8RZYN8NBK2O,english,test,test_yarn,past,mo-l,mo-h,exh,1,1,1,0,0,0,1,1,1,1,0,0,0,0
A2WKZI3JQCE3Z6,English,test,test_coffee,past,ms-h,exh,mo-l,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A2WKZI3JQCE3Z6,English,test,test_hair,past,ms-h,mo-l,ms-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A1E1ZAHNCSVLIT,English,test,test_books,past,mo-l,mo-h,fa,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A1E1ZAHNCSVLIT,English,test,test_hair,past,mo-h,ms-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A1FS8SBR4SDWYG,english,test,test_books,past,mo-l,fa,mo-h,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A1FS8SBR4SDWYG,english,test,test_coffee,past,mo-h,ms-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A24L4Y8HCZSUIF,English,test,test_coffee,past,ms-h,mo-l,exh,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A24L4Y8HCZSUIF,English,test,test_books,past,mo-l,mo-h,ms-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A1PAMVTKGCXSWQ,English,test,test_yarn,past,ms-h,ms-l,mo-l,0,0,1,1,1,0,1,0,0,1,0,1,0,0
A1PAMVTKGCXSWQ,English,test,test_hair,past,ms-l,mo-l,fa,0,0,1,0,1,0,1,0,0,1,0,0,0,0
A1PAMVTKGCXSWQ,English,test,test_shoes,past,ms-l,exh,mo-l,1,0,1,0,1,0,1,0,0,1,0,1,0,0
A3VD9VK9NLEVMN,ENGLISH,test,test_yarn,past,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A3VD9VK9NLEVMN,ENGLISH,test,test_books,past,mo-h,mo-l,ms-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A3NK47PYLGRNFC,English,test,test_coffee,past,mo-l,fa,mo-h,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A3NK47PYLGRNFC,English,test,test_books,past,mo-h,mo-l,ms-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A3NK47PYLGRNFC,English,test,test_yarn,past,mo-l,ms-l,ms-h,0,0,1,1,1,0,1,0,0,1,1,1,0,0
AVXEDARJC5HLU,English,test,test_books,past,mo-h,mo-l,ms-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
AVXEDARJC5HLU,English,test,test_yarn,past,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
AVXEDARJC5HLU,English,test,test_hair,past,ms-l,exh,mo-l,1,0,1,0,1,0,1,1,0,1,0,1,0,0
AVXEDARJC5HLU,English,test,test_shoes,past,mo-l,ms-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A30K9F91VNW9BL,English,test,test_coffee,past,mo-h,mo-l,ms-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A30K9F91VNW9BL,English,test,test_shoes,past,mo-l,exh,mo-h,1,1,1,0,0,0,1,1,1,1,0,0,0,0
AWAW665TQQP2F,english,test,test_books,past,mo-l,ms-h,mo-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A250FES5PFCGK9,English,test,test_coffee,past,mo-h,mo-l,fa,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A250FES5PFCGK9,English,test,test_hair,past,mo-l,mo-h,ms-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A250FES5PFCGK9,English,test,test_shoes,past,mo-l,ms-h,mo-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A250FES5PFCGK9,English,test,test_dentist,past,ms-h,mo-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A250FES5PFCGK9,English,test,test_books,past,fa,mo-l,mo-h,0,1,1,0,0,0,1,0,1,1,0,0,0,0
ABI1EI8UQK6LK,english,test,test_dentist,past,mo-h,mo-l,exh,1,1,1,0,0,0,1,1,1,1,0,0,0,0
A3JT22BLG866CK,English,test,test_hair,past,mo-l,exh,mo-h,1,1,1,0,0,0,1,0,0,1,0,0,0,0
A3JT22BLG866CK,English,test,test_coffee,past,mo-l,fa,exh,1,0,1,0,0,0,1,0,0,1,0,0,0,0
A2NA2OJT15COZY,American English,test,test_shoes,past,ms-l,exh,mo-l,1,0,1,0,1,0,1,0,0,1,0,1,0,0
AVD6HMIO1HLFI,English,test,test_books,past,ms-l,mo-h,mo-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
AVD6HMIO1HLFI,English,test,test_coffee,past,ms-l,mo-l,exh,1,0,1,0,1,0,1,1,0,1,0,1,0,0
A1JQ3GAFW1XZYZ,english,test,test_dentist,present,mo-l,mo-h,fa,0,1,1,0,0,0,1,0,0,1,0,0,0,0
A1JQ3GAFW1XZYZ,english,test,test_hair,present,mo-h,mo-l,ms-l,0,1,1,0,1,0,1,0,0,1,0,0,0,0
A251YA0XPAWWIQ,english,test,test_dentist,present,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A251YA0XPAWWIQ,english,test,test_shoes,present,ms-l,mo-h,mo-l,0,1,1,0,1,0,1,0,0,1,0,0,0,0
A3PLDW841STU8B,english,test,test_coffee,present,fa,mo-l,ms-h,0,0,1,1,0,0,1,0,0,1,0,0,0,0
A3A4UFCFF9DMW3,english,test,test_dentist,present,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,0,1,0,0,0,0
